Name:,Properties of Diesel Fuels,,,
Author:,"Scott Hutzler, Southwest Research Institute",,,
Date:,23-Dec-2004 14:22:44,,,
Modification Date:,23-Dec-2004 14:22:45,,,
Description:,,,,
,,,,
,,,,
,Label,,,
Label,,CN,D4052,FLASH
,17366,55.1,NaN,NaN
,17629,NaN,0.7818,52
,19546,46.5,0.7883,NaN
,20573,53.6,0.851,85
,20622,NaN,NaN,63
,20626,NaN,0.8015,41
,20633,45,0.8563,NaN
,20634,45.8,0.8533,69
,20635,44.5,NaN,63
,20636,NaN,NaN,58
,20637,50.1,NaN,62
,20638,49.2,0.8549,67
,20655,36.9,0.841,60
,20656,43.1,NaN,61
,20696,NaN,0.8043,51
,20758,NaN,NaN,43
,20779,NaN,0.8716,72
,20780,NaN,0.8499,62
,20795,NaN,NaN,73
,20796,54.5,NaN,63
,20797,51.3,0.8394,NaN
,20798,44.1,0.8574,NaN
,20799,48.7,0.848,NaN
,20800,46.8,0.8485,NaN
,20813,NaN,0.85,62
,20814,48.3,0.8444,NaN
,20815,48.4,NaN,NaN
,20816,49.8,0.8372,60
,20817,NaN,0.847,62
,20818,48.4,0.8478,62
,20819,NaN,0.8492,60
,20821,49.9,0.8496,NaN
,20822,47.5,0.8291,NaN
,20823,NaN,NaN,NaN
,20824,NaN,0.8656,NaN
,20825,NaN,0.8456,NaN
,20826,45.8,NaN,68
,20827,45.5,NaN,NaN
,20828,NaN,NaN,59
,20829,NaN,NaN,70
,20830,47.7,NaN,63
,20831,52.6,NaN,NaN
,20832,44,NaN,68
,20833,NaN,0.8601,NaN
,20834,NaN,0.8619,NaN
,20835,NaN,NaN,NaN
,20836,53.2,NaN,NaN
,20837,52.2,NaN,NaN
,20838,NaN,0.8455,70
,20839,NaN,0.8429,NaN
,20840,NaN,NaN,NaN
,20841,53.8,NaN,60
,20842,NaN,0.8483,NaN
,20843,44.8,0.8533,72
,20850,48.9,NaN,NaN
,20851,46.4,0.8488,NaN
,20852,50.9,NaN,62
,20853,NaN,NaN,NaN
,20854,NaN,0.8559,49
,20855,43.4,0.8598,NaN
,20856,53.8,0.8319,74
,20857,51.2,NaN,NaN
,20858,50.5,0.8416,72
,20859,52.9,0.8259,NaN
,20860,NaN,NaN,64
,20861,48.4,0.8492,62
,20862,47.3,NaN,NaN
,20863,45.3,NaN,NaN
,20864,47.2,NaN,NaN
,20865,NaN,0.8573,70
,20866,NaN,0.8506,NaN
,20867,59.5,0.8361,72
,20868,49.3,0.8575,78
,20869,NaN,0.8517,67
,20870,45.4,NaN,NaN
,20871,NaN,NaN,NaN
,20872,61.3,0.812,NaN
,20873,NaN,0.8657,NaN
,20874,47.2,0.8436,NaN
,20875,46.5,0.8497,62
,20876,NaN,0.8484,NaN
,20877,48,NaN,59
,20878,NaN,0.8527,62
,20879,48,0.8364,60
,20880,49.8,NaN,NaN
,20881,45.1,NaN,NaN
,20882,46.1,0.8532,64
,20883,NaN,NaN,NaN
,20884,53.8,NaN,62
,20885,NaN,NaN,NaN
,20886,48.4,0.848,56
,20887,NaN,NaN,63
,20888,NaN,0.8492,NaN
,20889,NaN,NaN,62
,20890,51.8,0.8299,NaN
,20904,48.5,0.858,NaN
,20905,46.3,0.8473,49
,20906,45.7,NaN,51
,20907,51.4,0.8529,NaN
,20908,NaN,0.8322,NaN
,20909,49.4,0.8453,66
,20910,NaN,0.842,67
,20911,48.7,NaN,NaN
,20912,42.8,0.8538,66
,20913,NaN,0.8534,NaN
,20914,NaN,0.8537,NaN
,20915,53.9,NaN,NaN
,20916,49.9,NaN,62
,20917,55.6,0.8548,NaN
,20918,53.5,NaN,NaN
,20919,NaN,NaN,66
,20920,47.6,NaN,66
,20921,46.9,0.8519,67
,20922,NaN,0.856,66
,20923,46.5,0.8357,NaN
,20924,42.9,0.8652,NaN
,20925,NaN,NaN,NaN
,20926,NaN,NaN,53
,20927,53.7,NaN,NaN
,20928,49.3,NaN,82
,20929,53.4,NaN,NaN
,20930,NaN,NaN,NaN
,20931,NaN,NaN,62
,20932,NaN,NaN,61
,20933,NaN,NaN,63
,20934,NaN,NaN,NaN
,20935,NaN,NaN,60
,20936,NaN,0.8578,54
,20937,47.5,0.8457,NaN
,20938,47.3,0.843,NaN
,20939,46.9,0.8486,57
,20940,42.8,0.8508,64
,20941,NaN,NaN,NaN
,20942,NaN,NaN,NaN
,20943,44.6,0.8542,NaN
,20979,NaN,0.8414,NaN
,20980,NaN,0.8435,57
,20981,53.5,NaN,NaN
,20982,48.6,0.8386,61
,20983,NaN,0.8549,NaN
,20984,NaN,NaN,NaN
,20985,51.7,0.8524,NaN
,20986,NaN,NaN,66
,20987,NaN,0.859,68
,20988,NaN,0.8186,NaN
,20989,50.7,NaN,NaN
,20990,NaN,NaN,66
,20991,49,0.8439,NaN
,20992,52.2,NaN,67
,20993,44.5,0.8407,56
,20994,NaN,NaN,NaN
,20995,NaN,NaN,45
,20996,NaN,0.8553,59
,20997,50.8,0.8566,71
,20998,NaN,0.8494,62
,20999,52.7,0.8479,NaN
,21000,52,NaN,54
,21001,NaN,NaN,60
,21002,49.9,0.8367,NaN
,21003,NaN,0.8354,62
,21004,47.7,NaN,59
,21005,47.2,0.8367,NaN
,21006,48.2,0.8239,NaN
,21007,NaN,NaN,70
,21008,44.3,NaN,62
,21009,NaN,0.8476,NaN
,21010,NaN,0.8548,NaN
,21011,47.5,NaN,NaN
,21012,NaN,0.8353,61
,21014,NaN,0.847,64
,21015,46.7,NaN,54
,21016,NaN,0.8487,NaN
,21017,NaN,0.862,61
,21018,45.7,NaN,60
,21019,46.9,NaN,64
,21020,53.2,0.8481,NaN
,21021,NaN,NaN,63
,21022,48.4,0.8538,56
,21023,NaN,NaN,NaN
,21024,NaN,NaN,65
,21025,NaN,0.8459,NaN
,21026,NaN,0.8695,64
,21027,NaN,0.8505,NaN
,21028,48.9,0.8496,60
,21029,NaN,NaN,67
,21030,NaN,NaN,72
,21031,47.9,0.833,NaN
,21032,47.3,NaN,61
,21055,48.1,NaN,NaN
,21056,NaN,0.8477,63
,21057,47.9,0.8541,NaN
,21058,NaN,NaN,68
,21059,49.5,0.8526,52
,21060,NaN,0.8452,NaN
,21061,NaN,0.8464,56
,21062,NaN,NaN,61
,21063,50.1,NaN,NaN
,21087,NaN,0.8456,61
